IsRamadan,n,mean,median,std,uplift_vs_base_%,Feature,IsEid,IsPreRamadan,IsPostRamadan,IsLast10Ramadan,IsDSF,IsSummerEvent,IsWorldCup,IsNationalDay,IsNewYear,IsMarathon,IsGITEX,IsFilmFestival,IsAirshow,IsArtDubai,IsFoodFestival,IsPreEvent,IsPostEvent,TourismIntensity,RevenueImpact,IslamicPeriod
,12,2996.133333333333,1431.7,3290.6223126093378,103.39964640731662,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Post-New-Year-Celebrations
,18,2975.0722222222225,1436.7,3063.091105173787,101.96986272403201,IsNewYear,,,,,,,,,1.0,,,,,,,,,,,
,6,2932.9500000000003,1436.7,2841.7193821698866,99.11029535746275,IslamicPeriod,,,,,,,,,,,,,,,,,,,,New-Year-Celebrations
,12,2428.766666666667,1626.25,1838.493628605833,64.88260909812995,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Marathon
,6,2262.9500000000003,1692.4,2071.993901294113,53.625749801111624,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Dubai-Marathon
,18,2141.117777777778,1806.5,1508.967446900872,45.354879260965106,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Food-Festival
,30,2100.8733333333334,1471.75,1660.1306882360159,42.6227893106317,IsMarathon,,,,,,,,,,1.0,,,,,,,,,,
,84,2095.2571428571428,1755.75,1952.5440951956257,42.24152084560567,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Early
,126,2076.396031746032,1503.5,1940.2306126602907,40.96108940146131,IsPreRamadan,,1.0,,,,,,,,,,,,,,,,,,
,42,2038.6738095238095,1270.5,1938.321162577897,38.40022651317254,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Pre-Ramadan-Late
,3,1978.6666666666667,1795.0,1024.9177202748197,34.32649871766182,IsNationalDay,,,,,,,,1.0,,,,,,,,,,,,
,3,1978.6666666666667,1795.0,1024.9177202748197,34.32649871766182,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Pre-UAE-National-Day
,39,1825.0953846153845,1214.0,1354.5189361965301,23.90094651675318,IsFoodFestival,,,,,,,,,,,,,,,1.0,,,,,
,258,1798.3847674418605,1279.5,1636.238597490729,22.087632660533167,IsPreEvent,,,,,,,,,,,,,,,,1.0,,,,
,6,1743.5,1264.0,1631.3737462641723,18.361649518654,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Pre-Flag-Day
,12,1698.2916666666667,1510.5,1057.885851771725,15.29257414995743,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Eid-Adha
,12,1691.9416666666666,1471.75,1272.9371779530802,14.861489277893494,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Post-Dubai-Marathon
,981,1634.3151681957186,1130.0,1528.1470061480622,10.949377195871355,TourismIntensity,,,,,,,,,,,,,,,,,,Normal,,
,507,1600.8324654832347,1131.0,1498.1457795129177,8.676324185609067,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Normal
,21,1554.2190476190476,1012.0,1176.2694302833206,5.511861307428694,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Dubai-Food-Festival
,15,1535.0133333333333,809.0,1478.676297458868,4.208035656128939,IslamicPeriod,,,,,,,,,,,,,,,,,,,,GITEX-Technology-Week
,1266,1518.6662164296997,1054.5,1453.595604405401,3.098272695653835,IsSummerEvent,,,,,,0.0,,,,,,,,,,,,,,
,1272,1514.1866588050314,1038.0,1433.2078447929885,2.7941672585620023,RevenueImpact,,,,,,,,,,,,,,,,,,,Neutral,
,1398,1502.5832117310445,1045.5,1417.3123896359837,2.006439621177724,IsLast10Ramadan,,,,0.0,,,,,,,,,,,,,,,,
0.0,1029,1500.5249562682216,1057.5,1380.7974186678966,1.8667100474980574,IsRamadan,,,,,,,,,,,,,,,,,,,,
,15,1497.3,1415.0,818.1256845462595,1.647776211230646,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Pre-Dubai-Airshow
,1365,1487.3346007326006,1016.0,1421.2095624488738,0.971251350088477,IsDSF,,,,,0.0,,,,,,,,,,,,,,,
,1332,1479.9088813813812,1023.5,1411.9506489792207,0.4671387081194957,IsPostRamadan,,,0.0,,,,,,,,,,,,,,,,,
,1242,1479.0637922705314,1017.0,1399.0449729959155,0.40976782131110084,IsPostEvent,,,,,,,,,,,,,,,,,0.0,,,
,1419,1478.1245454545453,1021.0,1407.4845848077687,0.34600481445979436,IsGITEX,,,,,,,,,,,0.0,,,,,,,,,
,1419,1477.3953699788583,1012.0,1412.5643803551588,0.29650300081432973,IsAirshow,,,,,,,,,,,,,0.0,,,,,,,
,1410,1475.021865248227,997.0,1414.9615234365274,0.13537197984624605,IsEid,0.0,,,,,,,,,,,,,,,,,,,
,1458,1473.0277983539092,1013.0,1401.572563732458,-3.0871606862724426e-14,IsFilmFestival,,,,,,,,,,,,0.0,,,,,,,,
,1458,1473.0277983539092,1013.0,1401.572563732458,-3.0871606862724426e-14,IsArtDubai,,,,,,,,,,,,,,0.0,,,,,,
,1458,1473.0277983539092,1013.0,1401.572563732458,-3.0871606862724426e-14,IsWorldCup,,,,,,,0.0,,,,,,,,,,,,,
,1455,1471.985243986254,1005.0,1402.3142416883652,-0.07077628601582762,IsNationalDay,,,,,,,,0.0,,,,,,,,,,,,
,1419,1463.3515221987316,997.0,1402.0568816204404,-0.6568970501433339,IsFoodFestival,,,,,,,,,,,,,,,0.0,,,,,
,1428,1459.8377661064426,984.9,1393.2814843354504,-0.8954367502233708,IsMarathon,,,,,,,,,,0.0,,,,,,,,,,
,1440,1454.2522430555555,997.0,1359.9855822405589,-1.2746232840504212,IsNewYear,,,,,,,,,0.0,,,,,,,,,,,
,57,1451.5833333333333,1205.5,1430.5538546352964,-1.45580857635819,RevenueImpact,,,,,,,,,,,,,,,,,,,Boost,
,216,1438.3208333333332,1000.0,1418.7957424262115,-2.3561649725389495,IsPostEvent,,,,,,,,,,,,,,,,,1.0,,,
,21,1436.142857142857,1070.0,1009.5727827013901,-2.5040220729215736,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Post-Eid-Adha
,1332,1415.9524249249248,971.75,1326.3121603599807,-3.8746976460842033,IsPreRamadan,,0.0,,,,,,,,,,,,,,,,,,
,48,1414.4520833333333,1068.0,933.845072117946,-3.9765519079839486,IsEid,1.0,,,,,,,,,,,,,,,,,,,
,84,1413.1630952380951,914.65,1335.943371890717,-4.06405793446075,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Post-Ramadan-Recovery
1.0,429,1407.0730769230768,890.0,1449.7087196368027,-4.477493330712192,IsRamadan,,,,,,,,,,,,,,,,,,,,
,6,1406.75,1053.0,1314.9717772636795,-4.499426177019491,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Pre-Commemoration-Day
,1200,1403.07605,951.5,1336.2514217761297,-4.748841022014657,IsPreEvent,,,,,,,,,,,,,,,,0.0,,,,
,126,1400.2849206349206,966.4,1289.717684243646,-4.938323485834985,IsPostRamadan,,,1.0,,,,,,,,,,,,,,,,,
,42,1374.5285714285715,1156.25,1207.1520614775989,-6.686854588583453,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Post-Ramadan-Week1
,99,1364.2474747474748,1054.0,1272.9368619090355,-7.384811320464932,TourismIntensity,,,,,,,,,,,,,,,,,,High,,
,39,1314.1153846153845,1029.0,913.8931503646368,-10.788147645014428,IsAirshow,,,,,,,,,,,,,1.0,,,,,,,
,39,1287.5846153846155,748.3,1166.2441370165623,-12.5892520953457,IsGITEX,,,,,,,,,,,1.0,,,,,,,,,
,51,1277.3049019607843,1054.0,1090.9681254855664,-13.28711492151359,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Dubai-Shopping-Festival
,93,1263.0408602150537,950.0,1056.5617926214788,-14.255463364202209,IsDSF,,,,,1.0,,,,,,,,,,,,,,,
,9,1257.4444444444443,1059.0,875.0165871443683,-14.635389376247826,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Post-Dubai-Airshow
,42,1245.720238095238,770.0,1026.1002456054912,-15.431315044609818,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Pre-DSF
,201,1212.8273631840796,836.0,995.3919744992481,-17.66432618994705,TourismIntensity,,,,,,,,,,,,,,,,,,Medium,,
,171,1188.7666666666667,836.0,940.8510242140918,-19.29774387183333,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Dubai-Summer-Surprises
,15,1179.9733333333331,748.3,1033.126735737314,-19.894700245851524,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Pre-GITEX-Technology-Week
,192,1172.0994791666667,797.45,941.3304880862906,-20.42923558696765,IsSummerEvent,,,,,,1.0,,,,,,,,,,,,,,
,15,1164.9333333333334,908.0,1047.9809306243988,-20.915726462519448,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Dubai-Airshow
,15,1157.0133333333333,995.0,671.9513129329988,-21.45339452342438,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Pre-Eid-Adha
,60,1077.1016666666667,715.9,983.5474061613231,-26.878388318922802,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Ramadan-First10Days
,129,1076.6577519379846,748.0,945.160740224282,-26.90852452743008,RevenueImpact,,,,,,,,,,,,,,,,,,,Decrease,
,9,1054.5555555555557,748.0,754.1835173071457,-28.40898476362711,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Post-GITEX-Technology-Week
,21,1036.3809523809523,502.0,957.268678386088,-29.642810981632856,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Post-Summer-Event
,57,945.3201754385965,703.0,838.1612152002979,-35.82468867899302,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Ramadan-Middle
,177,935.4381355932203,636.0,843.4252274952897,-36.49555448725674,TourismIntensity,,,,,,,,,,,,,,,,,,Low,,
,3,901.6666666666666,987.0,195.50532814563732,-38.78821107963692,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Flag-Day
,6,875.5833333333334,729.0,558.4749248325,-40.55894027853467,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Post-Flag-Day
,60,784.3866666666667,589.5,666.4655406344033,-46.75004317344119,IsLast10Ramadan,,,,1.0,,,,,,,,,,,,,,,,
,60,784.3866666666667,589.5,666.4655406344033,-46.75004317344119,IslamicPeriod,,,,,,,,,,,,,,,,,,,,Ramadan-Last10Days
